iter	Passed	Remaining
0	46	46265
1	46	23299
2	46	15616
3	47	11764
4	47	9455
5	47	7917
6	48	6829
7	48	6000
8	48	5357
9	49	4903
10	49	4476
11	50	4120
12	50	3818
13	50	3561
14	50	3338
15	51	3141
16	51	2969
17	51	2814
18	51	2682
19	52	2563
20	52	2450
21	52	2347
22	53	2254
23	53	2168
24	53	2089
25	53	2017
26	54	1949
27	54	1886
28	54	1828
29	54	1774
30	55	1723
31	55	1675
32	55	1630
33	55	1588
34	56	1548
35	56	1510
36	56	1475
37	56	1441
38	57	1409
39	57	1379
40	57	1350
41	57	1322
42	58	1297
43	58	1271
44	58	1247
45	59	1224
46	59	1202
47	59	1180
48	59	1160
49	60	1143
50	60	1124
51	60	1105
52	60	1088
53	61	1071
54	61	1055
55	61	1040
56	61	1025
57	62	1010
58	62	996
59	62	983
60	63	970
61	63	957
62	63	944
63	63	932
64	64	921
65	64	910
66	64	898
67	64	888
68	65	877
69	65	867
70	65	857
71	65	847
72	66	838
73	66	829
74	66	820
75	66	811
76	67	803
77	67	794
78	67	786
79	67	778
80	67	770
81	68	763
82	68	754
83	68	747
84	68	740
85	69	734
86	69	727
87	69	720
88	69	714
89	70	708
90	70	702
91	70	696
92	70	690
93	71	684
94	71	679
95	71	673
96	71	668
97	72	663
98	72	658
99	72	653
100	72	648
101	73	643
102	73	638
103	73	633
104	73	629
105	74	624
106	74	621
107	74	617
108	74	612
109	75	608
110	75	604
111	75	600
112	75	596
113	76	592
114	76	588
115	76	584
116	76	580
117	77	576
118	77	573
119	77	569
120	77	566
121	78	562
122	78	558
123	78	555
124	78	552
125	79	549
126	79	545
127	79	542
128	79	539
129	80	536
130	80	533
131	80	530
132	80	527
133	81	524
134	81	521
135	81	518
136	81	515
137	82	513
138	82	510
139	82	507
140	82	504
141	83	501
142	83	499
143	83	496
144	83	493
145	84	491
146	84	489
147	84	486
148	84	484
149	85	481
150	85	479
151	85	477
152	85	474
153	86	472
154	86	470
155	86	468
156	86	466
157	87	464
158	87	461
159	87	459
160	87	457
161	87	454
162	88	452
163	88	450
164	88	448
165	88	446
166	89	444
167	89	442
168	89	440
169	89	439
170	90	437
171	90	435
172	90	433
173	90	431
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	421
180	92	419
181	92	417
182	93	415
183	93	414
184	93	412
185	93	410
186	94	409
187	94	407
188	94	405
189	94	404
190	95	402
191	95	401
192	95	399
193	95	397
194	96	396
195	96	395
196	96	393
197	96	392
198	97	390
199	97	389
200	97	387
201	97	386
202	98	384
203	98	383
204	98	381
205	98	380
206	98	379
207	99	377
208	99	376
209	99	375
210	99	373
211	100	372
212	100	371
213	100	369
214	100	368
215	101	367
216	101	366
217	101	364
218	101	363
219	102	362
220	102	361
221	102	359
222	102	358
223	103	357
224	103	356
225	103	355
226	103	353
227	104	352
228	104	351
229	104	350
230	104	349
231	105	348
232	105	347
233	105	346
234	105	344
235	106	343
236	106	343
237	106	342
238	107	341
239	107	339
240	107	338
241	107	337
242	108	336
243	108	335
244	108	334
245	108	333
246	109	332
247	109	331
248	109	330
249	109	329
250	110	328
251	110	327
252	110	326
253	110	325
254	111	324
255	111	323
256	111	322
257	111	321
258	112	320
259	112	319
260	112	318
261	112	317
262	113	316
263	113	315
264	113	315
265	113	314
266	114	313
267	114	312
268	114	311
269	114	310
270	115	309
271	115	308
272	115	307
273	115	306
274	116	306
275	116	305
276	116	304
277	116	303
278	117	302
279	117	301
280	117	301
281	117	300
282	118	299
283	118	298
284	118	297
285	118	296
286	119	295
287	119	295
288	119	294
289	119	293
290	120	292
291	120	291
292	120	291
293	120	290
294	121	289
295	121	288
296	121	287
297	121	287
298	122	286
299	122	285
300	122	284
301	122	284
302	123	283
303	123	282
304	123	281
305	123	281
306	124	280
307	124	279
308	124	278
309	124	278
310	125	277
311	125	276
312	125	275
313	125	274
314	126	274
315	126	273
316	126	272
317	126	272
318	127	271
319	127	270
320	127	269
321	127	269
322	128	268
323	128	267
324	128	267
325	128	266
326	129	265
327	129	265
328	129	264
329	129	263
330	130	263
331	130	262
332	130	261
333	130	261
334	131	260
335	131	259
336	131	259
337	131	258
338	132	257
339	132	257
340	132	256
341	132	255
342	133	255
343	133	254
344	133	253
345	133	253
346	134	252
347	134	251
348	134	251
349	134	250
350	135	250
351	135	249
352	135	248
353	135	248
354	136	247
355	136	246
356	136	246
357	136	245
358	137	244
359	137	244
360	137	243
361	137	243
362	138	242
363	138	241
364	138	241
365	138	240
366	139	240
367	139	239
368	139	238
369	139	238
370	140	237
371	140	237
372	140	236
373	141	236
374	141	235
375	141	234
376	141	234
377	141	233
378	142	233
379	142	232
380	142	231
381	143	231
382	143	230
383	143	230
384	143	229
385	143	229
386	144	228
387	144	227
388	144	227
389	144	226
390	145	226
391	145	225
